category,question,answer
Attendance,What is the minimum attendance requirement? (B.Tech Mechanical),Students must maintain at least 75% attendance in every course. This information applies to B.Tech Mechanical unless otherwise notified by the university.
Fees,What is the hostel fee? (BCA),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to BCA unless otherwise notified by the university."
Attendance,What is the minimum attendance requirement? (B.Tech CSE),Students must maintain at least 75% attendance in every course. This information applies to B.Tech CSE unless otherwise notified by the university.
Examinations,What is the passing criteria? (MBA),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to MBA unless otherwise notified by the university.
Library,What are the library timings? (BCA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to BCA unless otherwise notified by the university.
Admissions,What documents are required for admission? (MCA),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to MCA unless otherwise notified by the university."
Placements,What is the placement process? (MBA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to MBA unless otherwise notified by the university."
Academics,How is CGPA calculated? (B.Tech Mechanical),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to B.Tech Mechanical unless otherwise notified by the university.
Examinations,What is the passing criteria? (B.Tech Mechanical),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to B.Tech Mechanical unless otherwise notified by the university.
Placements,What is the placement process? (BBA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to BBA unless otherwise notified by the university."
Fees,What is the annual tuition fee for B.Tech? (MCA),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to MCA unless otherwise notified by the university."
Scholarships,Who is eligible for merit scholarships? (MCA),Students with outstanding academic performance may apply for merit scholarships. This information applies to MCA unless otherwise notified by the university.
Library,What are the library timings? (B.Tech Mechanical),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to B.Tech Mechanical unless otherwise notified by the university.
Placements,What is the placement process? (BCA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to BCA unless otherwise notified by the university."
Scholarships,Who is eligible for merit scholarships? (B.Tech ECE),Students with outstanding academic performance may apply for merit scholarships. This information applies to B.Tech ECE unless otherwise notified by the university.
Fees,What is the annual tuition fee for B.Tech? (B.Tech IT),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to B.Tech IT unless otherwise notified by the university."
Scholarships,Who is eligible for merit scholarships? (MBA),Students with outstanding academic performance may apply for merit scholarships. This information applies to MBA unless otherwise notified by the university.
Admissions,What documents are required for admission? (B.Tech CSE),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to B.Tech CSE unless otherwise notified by the university."
Attendance,What is the minimum attendance requirement? (BCA),Students must maintain at least 75% attendance in every course. This information applies to BCA unless otherwise notified by the university.
Placements,What is the placement process? (MCA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to MCA unless otherwise notified by the university."
Fees,What is the annual tuition fee for B.Tech? (BBA),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to BBA unless otherwise notified by the university."
Admissions,What documents are required for admission? (B.Tech ECE),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to B.Tech ECE unless otherwise notified by the university."
Fees,What is the annual tuition fee for B.Tech? (BCA),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to BCA unless otherwise notified by the university."
Library,What are the library timings? (MCA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to MCA unless otherwise notified by the university.
Attendance,What is the minimum attendance requirement? (BCA),Students must maintain at least 75% attendance in every course. This information applies to BCA unless otherwise notified by the university.
Examinations,What is the passing criteria? (B.Tech CSE),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to B.Tech CSE unless otherwise notified by the university.
Examinations,What is the passing criteria? (B.Tech CSE),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to B.Tech CSE unless otherwise notified by the university.
Scholarships,Who is eligible for merit scholarships? (B.Tech ECE),Students with outstanding academic performance may apply for merit scholarships. This information applies to B.Tech ECE unless otherwise notified by the university.
Placements,What is the placement process? (B.Tech CSE),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to B.Tech CSE unless otherwise notified by the university."
Fees,What is the hostel fee? (BBA),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to BBA unless otherwise notified by the university."
Attendance,What is the minimum attendance requirement? (B.Tech ECE),Students must maintain at least 75% attendance in every course. This information applies to B.Tech ECE unless otherwise notified by the university.
Placements,What is the placement process? (BCA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to BCA unless otherwise notified by the university."
Academics,How is CGPA calculated? (MCA),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to MCA unless otherwise notified by the university.
Library,What are the library timings? (MCA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to MCA unless otherwise notified by the university.
Library,What are the library timings? (BCA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to BCA unless otherwise notified by the university.
Academics,How is CGPA calculated? (B.Tech Mechanical),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to B.Tech Mechanical unless otherwise notified by the university.
Placements,What is the placement process? (BBA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to BBA unless otherwise notified by the university."
Fees,What is the hostel fee? (B.Tech IT),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to B.Tech IT unless otherwise notified by the university."
Fees,What is the hostel fee? (B.Tech ECE),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to B.Tech ECE unless otherwise notified by the university."
Placements,What is the placement process? (B.Tech Mechanical),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to B.Tech Mechanical unless otherwise notified by the university."
Hostel,How can I apply for hostel accommodation? (B.Tech IT),Students can apply through the hostel portal during admission or semester registration. This information applies to B.Tech IT unless otherwise notified by the university.
Academics,How is CGPA calculated? (MBA),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to MBA unless otherwise notified by the university.
Fees,What is the hostel fee? (B.Tech CSE),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to B.Tech CSE unless otherwise notified by the university."
Scholarships,Who is eligible for merit scholarships? (BCA),Students with outstanding academic performance may apply for merit scholarships. This information applies to BCA unless otherwise notified by the university.
Fees,What is the hostel fee? (B.Tech Mechanical),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to B.Tech Mechanical unless otherwise notified by the university."
Fees,What is the hostel fee? (BBA),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to BBA unless otherwise notified by the university."
Fees,What is the annual tuition fee for B.Tech? (BCA),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to BCA unless otherwise notified by the university."
Admissions,What documents are required for admission? (MCA),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to MCA unless otherwise notified by the university."
Library,What are the library timings? (MBA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to MBA unless otherwise notified by the university.
Examinations,What is the passing criteria? (B.Tech ECE),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to B.Tech ECE unless otherwise notified by the university.
Academics,How is CGPA calculated? (B.Tech IT),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to B.Tech IT unless otherwise notified by the university.
Attendance,What is the minimum attendance requirement? (B.Tech IT),Students must maintain at least 75% attendance in every course. This information applies to B.Tech IT unless otherwise notified by the university.
Attendance,What is the minimum attendance requirement? (B.Tech CSE),Students must maintain at least 75% attendance in every course. This information applies to B.Tech CSE unless otherwise notified by the university.
Library,What are the library timings? (B.Tech IT),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to B.Tech IT unless otherwise notified by the university.
Attendance,What is the minimum attendance requirement? (B.Tech IT),Students must maintain at least 75% attendance in every course. This information applies to B.Tech IT unless otherwise notified by the university.
Placements,What is the placement process? (BBA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to BBA unless otherwise notified by the university."
Fees,What is the hostel fee? (BCA),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to BCA unless otherwise notified by the university."
Academics,How is CGPA calculated? (B.Tech ECE),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to B.Tech ECE unless otherwise notified by the university.
Examinations,What is the passing criteria? (MCA),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to MCA unless otherwise notified by the university.
Scholarships,Who is eligible for merit scholarships? (B.Tech IT),Students with outstanding academic performance may apply for merit scholarships. This information applies to B.Tech IT unless otherwise notified by the university.
Examinations,What is the passing criteria? (B.Tech ECE),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to B.Tech ECE unless otherwise notified by the university.
Admissions,What documents are required for admission? (MBA),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to MBA unless otherwise notified by the university."
Fees,What is the hostel fee? (BCA),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to BCA unless otherwise notified by the university."
Scholarships,Who is eligible for merit scholarships? (B.Tech IT),Students with outstanding academic performance may apply for merit scholarships. This information applies to B.Tech IT unless otherwise notified by the university.
Admissions,What documents are required for admission? (B.Tech ECE),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to B.Tech ECE unless otherwise notified by the university."
Admissions,What documents are required for admission? (MCA),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to MCA unless otherwise notified by the university."
Library,What are the library timings? (MBA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to MBA unless otherwise notified by the university.
Placements,What is the placement process? (B.Tech IT),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to B.Tech IT unless otherwise notified by the university."
Academics,How is CGPA calculated? (MCA),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to MCA unless otherwise notified by the university.
Examinations,What is the passing criteria? (MBA),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to MBA unless otherwise notified by the university.
Admissions,What documents are required for admission? (BBA),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to BBA unless otherwise notified by the university."
Hostel,How can I apply for hostel accommodation? (B.Tech Mechanical),Students can apply through the hostel portal during admission or semester registration. This information applies to B.Tech Mechanical unless otherwise notified by the university.
Fees,What is the hostel fee? (MBA),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to MBA unless otherwise notified by the university."
Attendance,What is the minimum attendance requirement? (B.Tech Mechanical),Students must maintain at least 75% attendance in every course. This information applies to B.Tech Mechanical unless otherwise notified by the university.
Examinations,What is the passing criteria? (MBA),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to MBA unless otherwise notified by the university.
Fees,What is the hostel fee? (BBA),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to BBA unless otherwise notified by the university."
Fees,What is the hostel fee? (B.Tech CSE),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to B.Tech CSE unless otherwise notified by the university."
Library,What are the library timings? (B.Tech Mechanical),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to B.Tech Mechanical unless otherwise notified by the university.
Hostel,How can I apply for hostel accommodation? (B.Tech IT),Students can apply through the hostel portal during admission or semester registration. This information applies to B.Tech IT unless otherwise notified by the university.
Library,What are the library timings? (BCA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to BCA unless otherwise notified by the university.
Admissions,What documents are required for admission? (B.Tech Mechanical),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to B.Tech Mechanical unless otherwise notified by the university."
Admissions,What documents are required for admission? (B.Tech CSE),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to B.Tech CSE unless otherwise notified by the university."
Fees,What is the annual tuition fee for B.Tech? (BBA),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to BBA unless otherwise notified by the university."
Library,What are the library timings? (BBA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to BBA unless otherwise notified by the university.
Academics,How is CGPA calculated? (B.Tech CSE),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to B.Tech CSE unless otherwise notified by the university.
Placements,What is the placement process? (B.Tech CSE),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to B.Tech CSE unless otherwise notified by the university."
Academics,How is CGPA calculated? (B.Tech CSE),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to B.Tech CSE unless otherwise notified by the university.
Attendance,What is the minimum attendance requirement? (BBA),Students must maintain at least 75% attendance in every course. This information applies to BBA unless otherwise notified by the university.
Library,What are the library timings? (B.Tech ECE),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to B.Tech ECE unless otherwise notified by the university.
Fees,What is the annual tuition fee for B.Tech? (B.Tech CSE),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to B.Tech CSE unless otherwise notified by the university."
Examinations,What is the passing criteria? (BBA),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to BBA unless otherwise notified by the university.
Examinations,What is the passing criteria? (B.Tech ECE),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to B.Tech ECE unless otherwise notified by the university.
Attendance,What is the minimum attendance requirement? (B.Tech IT),Students must maintain at least 75% attendance in every course. This information applies to B.Tech IT unless otherwise notified by the university.
Academics,How is CGPA calculated? (B.Tech ECE),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to B.Tech ECE unless otherwise notified by the university.
Hostel,How can I apply for hostel accommodation? (BCA),Students can apply through the hostel portal during admission or semester registration. This information applies to BCA unless otherwise notified by the university.
Admissions,What documents are required for admission? (MCA),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to MCA unless otherwise notified by the university."
Examinations,What is the passing criteria? (B.Tech IT),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to B.Tech IT unless otherwise notified by the university.
Scholarships,Who is eligible for merit scholarships? (MCA),Students with outstanding academic performance may apply for merit scholarships. This information applies to MCA unless otherwise notified by the university.
Library,What are the library timings? (B.Tech Mechanical),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to B.Tech Mechanical unless otherwise notified by the university.
Fees,What is the hostel fee? (BBA),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to BBA unless otherwise notified by the university."
Placements,What is the placement process? (B.Tech ECE),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to B.Tech ECE unless otherwise notified by the university."
Fees,What is the annual tuition fee for B.Tech? (B.Tech CSE),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to B.Tech CSE unless otherwise notified by the university."
Academics,How is CGPA calculated? (B.Tech ECE),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to B.Tech ECE unless otherwise notified by the university.
Placements,What is the placement process? (B.Tech ECE),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to B.Tech ECE unless otherwise notified by the university."
Library,What are the library timings? (BBA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to BBA unless otherwise notified by the university.
Placements,What is the placement process? (B.Tech ECE),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to B.Tech ECE unless otherwise notified by the university."
Hostel,How can I apply for hostel accommodation? (MBA),Students can apply through the hostel portal during admission or semester registration. This information applies to MBA unless otherwise notified by the university.
Attendance,What is the minimum attendance requirement? (BCA),Students must maintain at least 75% attendance in every course. This information applies to BCA unless otherwise notified by the university.
Library,What are the library timings? (B.Tech IT),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to B.Tech IT unless otherwise notified by the university.
Fees,What is the hostel fee? (MBA),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to MBA unless otherwise notified by the university."
Academics,How is CGPA calculated? (MCA),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to MCA unless otherwise notified by the university.
Fees,What is the annual tuition fee for B.Tech? (B.Tech Mechanical),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to B.Tech Mechanical unless otherwise notified by the university."
Examinations,What is the passing criteria? (B.Tech CSE),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to B.Tech CSE unless otherwise notified by the university.
Library,What are the library timings? (B.Tech CSE),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to B.Tech CSE unless otherwise notified by the university.
Fees,What is the annual tuition fee for B.Tech? (B.Tech ECE),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to B.Tech ECE unless otherwise notified by the university."
Attendance,What is the minimum attendance requirement? (B.Tech IT),Students must maintain at least 75% attendance in every course. This information applies to B.Tech IT unless otherwise notified by the university.
Scholarships,Who is eligible for merit scholarships? (BCA),Students with outstanding academic performance may apply for merit scholarships. This information applies to BCA unless otherwise notified by the university.
Fees,What is the annual tuition fee for B.Tech? (B.Tech Mechanical),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to B.Tech Mechanical unless otherwise notified by the university."
Admissions,What documents are required for admission? (B.Tech ECE),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to B.Tech ECE unless otherwise notified by the university."
Attendance,What is the minimum attendance requirement? (BBA),Students must maintain at least 75% attendance in every course. This information applies to BBA unless otherwise notified by the university.
Admissions,What documents are required for admission? (B.Tech IT),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to B.Tech IT unless otherwise notified by the university."
Library,What are the library timings? (B.Tech CSE),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to B.Tech CSE unless otherwise notified by the university.
Examinations,What is the passing criteria? (MBA),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to MBA unless otherwise notified by the university.
Admissions,What documents are required for admission? (MCA),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to MCA unless otherwise notified by the university."
Admissions,What documents are required for admission? (B.Tech ECE),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to B.Tech ECE unless otherwise notified by the university."
Placements,What is the placement process? (MBA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to MBA unless otherwise notified by the university."
Examinations,What is the passing criteria? (B.Tech CSE),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to B.Tech CSE unless otherwise notified by the university.
Fees,What is the annual tuition fee for B.Tech? (B.Tech ECE),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to B.Tech ECE unless otherwise notified by the university."
Fees,What is the annual tuition fee for B.Tech? (B.Tech IT),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to B.Tech IT unless otherwise notified by the university."
Attendance,What is the minimum attendance requirement? (B.Tech ECE),Students must maintain at least 75% attendance in every course. This information applies to B.Tech ECE unless otherwise notified by the university.
Library,What are the library timings? (MCA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to MCA unless otherwise notified by the university.
Admissions,What documents are required for admission? (MCA),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to MCA unless otherwise notified by the university."
Placements,What is the placement process? (MCA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to MCA unless otherwise notified by the university."
Attendance,What is the minimum attendance requirement? (BCA),Students must maintain at least 75% attendance in every course. This information applies to BCA unless otherwise notified by the university.
Scholarships,Who is eligible for merit scholarships? (B.Tech ECE),Students with outstanding academic performance may apply for merit scholarships. This information applies to B.Tech ECE unless otherwise notified by the university.
Placements,What is the placement process? (BBA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to BBA unless otherwise notified by the university."
Attendance,What is the minimum attendance requirement? (B.Tech Mechanical),Students must maintain at least 75% attendance in every course. This information applies to B.Tech Mechanical unless otherwise notified by the university.
Scholarships,Who is eligible for merit scholarships? (MCA),Students with outstanding academic performance may apply for merit scholarships. This information applies to MCA unless otherwise notified by the university.
Scholarships,Who is eligible for merit scholarships? (BBA),Students with outstanding academic performance may apply for merit scholarships. This information applies to BBA unless otherwise notified by the university.
Scholarships,Who is eligible for merit scholarships? (MCA),Students with outstanding academic performance may apply for merit scholarships. This information applies to MCA unless otherwise notified by the university.
Attendance,What is the minimum attendance requirement? (B.Tech ECE),Students must maintain at least 75% attendance in every course. This information applies to B.Tech ECE unless otherwise notified by the university.
Library,What are the library timings? (BBA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to BBA unless otherwise notified by the university.
Fees,What is the annual tuition fee for B.Tech? (MCA),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to MCA unless otherwise notified by the university."
Attendance,What is the minimum attendance requirement? (MCA),Students must maintain at least 75% attendance in every course. This information applies to MCA unless otherwise notified by the university.
Examinations,What is the passing criteria? (BBA),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to BBA unless otherwise notified by the university.
Hostel,How can I apply for hostel accommodation? (B.Tech ECE),Students can apply through the hostel portal during admission or semester registration. This information applies to B.Tech ECE unless otherwise notified by the university.
Scholarships,Who is eligible for merit scholarships? (MCA),Students with outstanding academic performance may apply for merit scholarships. This information applies to MCA unless otherwise notified by the university.
Academics,How is CGPA calculated? (B.Tech CSE),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to B.Tech CSE unless otherwise notified by the university.
Examinations,What is the passing criteria? (MCA),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to MCA unless otherwise notified by the university.
Library,What are the library timings? (MCA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to MCA unless otherwise notified by the university.
Fees,What is the hostel fee? (MBA),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to MBA unless otherwise notified by the university."
Placements,What is the placement process? (MBA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to MBA unless otherwise notified by the university."
Examinations,What is the passing criteria? (B.Tech IT),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to B.Tech IT unless otherwise notified by the university.
Attendance,What is the minimum attendance requirement? (B.Tech CSE),Students must maintain at least 75% attendance in every course. This information applies to B.Tech CSE unless otherwise notified by the university.
Fees,What is the annual tuition fee for B.Tech? (BBA),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to BBA unless otherwise notified by the university."
Scholarships,Who is eligible for merit scholarships? (B.Tech ECE),Students with outstanding academic performance may apply for merit scholarships. This information applies to B.Tech ECE unless otherwise notified by the university.
Academics,How is CGPA calculated? (B.Tech ECE),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to B.Tech ECE unless otherwise notified by the university.
Fees,What is the hostel fee? (B.Tech IT),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to B.Tech IT unless otherwise notified by the university."
Placements,What is the placement process? (BCA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to BCA unless otherwise notified by the university."
Academics,How is CGPA calculated? (B.Tech ECE),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to B.Tech ECE unless otherwise notified by the university.
Library,What are the library timings? (MCA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to MCA unless otherwise notified by the university.
Library,What are the library timings? (B.Tech IT),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to B.Tech IT unless otherwise notified by the university.
Academics,How is CGPA calculated? (MCA),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to MCA unless otherwise notified by the university.
Attendance,What is the minimum attendance requirement? (B.Tech Mechanical),Students must maintain at least 75% attendance in every course. This information applies to B.Tech Mechanical unless otherwise notified by the university.
Admissions,What documents are required for admission? (B.Tech ECE),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to B.Tech ECE unless otherwise notified by the university."
Fees,What is the hostel fee? (B.Tech ECE),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to B.Tech ECE unless otherwise notified by the university."
Placements,What is the placement process? (MCA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to MCA unless otherwise notified by the university."
Academics,How is CGPA calculated? (B.Tech IT),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to B.Tech IT unless otherwise notified by the university.
Library,What are the library timings? (B.Tech ECE),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to B.Tech ECE unless otherwise notified by the university.
Academics,How is CGPA calculated? (MCA),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to MCA unless otherwise notified by the university.
Fees,What is the hostel fee? (B.Tech CSE),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to B.Tech CSE unless otherwise notified by the university."
Library,What are the library timings? (BCA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to BCA unless otherwise notified by the university.
Placements,What is the placement process? (B.Tech CSE),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to B.Tech CSE unless otherwise notified by the university."
Fees,What is the hostel fee? (B.Tech CSE),"The annual hostel fee is Rs. 50,000 including accommodation charges. This information applies to B.Tech CSE unless otherwise notified by the university."
Scholarships,Who is eligible for merit scholarships? (B.Tech IT),Students with outstanding academic performance may apply for merit scholarships. This information applies to B.Tech IT unless otherwise notified by the university.
Academics,How is CGPA calculated? (B.Tech ECE),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to B.Tech ECE unless otherwise notified by the university.
Examinations,What is the passing criteria? (BCA),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to BCA unless otherwise notified by the university.
Placements,What is the placement process? (MBA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to MBA unless otherwise notified by the university."
Library,What are the library timings? (MCA),The central library is open from 8:00 AM to 10:00 PM on working days. This information applies to MCA unless otherwise notified by the university.
Academics,How is CGPA calculated? (MBA),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to MBA unless otherwise notified by the university.
Admissions,What documents are required for admission? (B.Tech Mechanical),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to B.Tech Mechanical unless otherwise notified by the university."
Examinations,What is the passing criteria? (MCA),Students must obtain at least 40% marks in end-semester examinations and meet overall course requirements. This information applies to MCA unless otherwise notified by the university.
Placements,What is the placement process? (MCA),"Students register with the Training and Placement Cell and participate in aptitude tests, interviews, and company drives. This information applies to MCA unless otherwise notified by the university."
Admissions,What documents are required for admission? (MBA),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to MBA unless otherwise notified by the university."
Hostel,How can I apply for hostel accommodation? (B.Tech Mechanical),Students can apply through the hostel portal during admission or semester registration. This information applies to B.Tech Mechanical unless otherwise notified by the university.
Attendance,What is the minimum attendance requirement? (B.Tech CSE),Students must maintain at least 75% attendance in every course. This information applies to B.Tech CSE unless otherwise notified by the university.
Attendance,What is the minimum attendance requirement? (B.Tech CSE),Students must maintain at least 75% attendance in every course. This information applies to B.Tech CSE unless otherwise notified by the university.
Attendance,What is the minimum attendance requirement? (MBA),Students must maintain at least 75% attendance in every course. This information applies to MBA unless otherwise notified by the university.
Fees,What is the annual tuition fee for B.Tech? (MCA),"The annual tuition fee for B.Tech is Rs. 95,000 per academic year. This information applies to MCA unless otherwise notified by the university."
Academics,How is CGPA calculated? (BCA),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to BCA unless otherwise notified by the university.
Academics,How is CGPA calculated? (MCA),CGPA is calculated as the weighted average of grade points earned across all completed courses. This information applies to MCA unless otherwise notified by the university.
Admissions,What documents are required for admission? (MBA),"Students must submit mark sheets, identity proof, photographs, and other required documents. This information applies to MBA unless otherwise notified by the university."
